Sample:	'SLABO1-5-5-320
File name:	3H7.FD3
Run Date:	17:37:00, 08/24/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
450.0	299.7	265.5	262.2	256.9	299.2	305.5	378.0	355.6	376.6	405.6	424.2	406.9	437.8	449.0	421.3	453.2	418.0	403.2	369.0	340.3	300.0	331.6	338.8	347.1	334.3	365.6	352.9	368.1	368.5	347.1	349.2	340.2	328.0	311.9	283.7	266.8	222.9	221.2	244.8	205.5	127.5	96.30	79.09	66.94	58.30	45.48	42.05	75.33	553.1	 7659	9999.9
455.0	222.5	262.4	284.5	284.0	322.2	327.6	343.5	378.5	387.1	381.2	394.4	426.3	410.6	414.3	435.3	436.4	412.2	378.0	326.2	346.9	299.6	286.8	306.8	309.3	316.5	335.0	348.5	335.8	358.0	345.3	350.6	328.7	311.9	306.1	292.4	254.1	216.8	208.2	202.8	229.7	153.0	102.9	86.05	74.78	56.65	54.43	41.93	43.56	67.41	516.7	 8006
460.0	235.8	225.6	277.6	340.6	259.4	338.5	385.7	332.6	338.8	403.9	386.4	431.2	392.0	401.2	381.8	389.3	392.7	339.2	335.2	293.1	285.8	266.2	310.0	304.3	300.7	292.6	326.8	317.3	324.4	320.7	317.8	307.1	298.0	284.3	277.5	249.3	228.4	194.2	174.2	195.7	190.9	125.7	89.58	77.28	63.34	58.87	49.16	39.46	37.29	63.98	535.3
465.0	235.6	312.6	247.8	315.4	266.3	308.3	264.9	333.0	344.1	316.8	383.8	379.4	381.2	361.3	393.7	375.4	384.2	346.3	307.8	285.4	264.9	255.8	272.5	267.1	296.2	294.5	314.1	280.3	298.4	298.5	279.6	290.1	290.2	279.4	259.9	233.6	220.6	190.6	163.6	160.7	175.0	158.9	96.91	82.80	72.52	59.72	49.73	46.89	34.46	36.30	65.07
470.0	167.6	232.3	180.9	261.7	328.5	280.6	319.3	369.4	320.4	310.7	335.0	366.3	376.1	342.0	386.5	375.6	336.1	320.0	283.2	264.6	232.3	240.3	244.3	235.3	259.6	248.4	261.3	267.3	275.7	266.7	267.5	267.7	263.4	256.2	244.6	232.6	217.8	178.8	165.0	147.6	138.2	162.9	132.0	83.99	74.37	68.01	55.01	47.21	39.86	33.81	33.77
475.0	200.1	251.1	222.0	258.1	286.4	236.5	296.4	316.3	291.7	299.7	280.0	341.0	333.2	344.7	347.9	310.1	326.7	312.7	267.9	255.3	228.9	236.1	226.9	216.8	225.9	234.0	242.4	240.7	252.4	245.4	241.1	246.5	239.5	243.2	233.7	213.7	202.4	165.9	157.3	143.6	131.4	130.7	144.4	107.7	79.85	63.77	57.15	48.06	40.54	35.50	27.93
480.0	172.3	181.4	155.0	300.8	247.7	232.3	253.1	257.3	310.6	284.4	310.9	318.6	322.1	321.5	328.2	338.8	318.5	275.4	259.1	242.7	227.0	216.4	201.6	215.9	203.0	213.0	215.5	207.6	223.2	231.9	218.6	223.9	227.0	222.3	217.7	186.8	187.0	162.5	149.2	134.4	122.2	114.3	118.9	122.2	87.61	68.50	59.70	50.35	38.40	35.66	32.65
485.0	136.9	123.3	169.6	219.7	176.4	240.5	200.8	277.7	249.8	266.6	290.0	289.6	281.1	300.7	303.3	286.2	275.0	255.4	243.7	215.4	203.5	195.6	200.9	195.4	196.7	203.3	204.9	204.1	215.0	211.4	198.7	205.9	203.6	198.1	191.3	189.2	172.1	158.0	148.6	130.9	115.1	102.4	106.5	109.4	104.6	73.12	59.97	50.86	45.64	37.53	29.81
490.0	201.3	235.8	178.9	172.6	152.3	228.3	232.7	208.9	213.0	259.8	283.3	260.9	284.4	300.9	297.1	270.2	293.3	244.0	215.8	213.3	179.1	195.2	176.9	178.1	177.5	171.3	185.9	183.4	197.0	196.3	200.7	187.1	193.5	192.6	190.6	171.4	159.5	144.8	135.3	122.4	117.1	96.30	91.70	93.41	108.5	86.68	59.86	53.01	48.04	42.60	34.92
495.0	137.1	172.8	177.4	215.8	162.1	204.7	207.8	199.3	216.0	253.2	269.0	260.8	235.4	269.0	270.1	259.9	270.5	235.8	212.2	191.9	173.3	167.5	160.5	178.0	166.3	158.8	166.4	172.9	173.0	170.7	183.8	172.6	177.1	181.2	173.1	176.8	143.4	142.9	123.8	119.1	105.3	100.6	89.86	81.03	86.60	104.5	78.98	54.28	47.41	39.44	33.39
500.0	154.0	160.6	156.2	156.9	176.0	187.8	178.9	198.2	236.3	213.9	189.4	209.0	233.0	251.2	234.8	244.7	243.9	212.0	185.9	179.3	166.2	161.8	159.3	147.6	153.3	149.8	145.4	161.8	148.5	151.6	163.8	153.6	162.3	149.9	159.7	149.9	138.1	139.8	124.6	113.1	106.4	97.03	89.60	78.02	74.32	80.72	90.06	66.88	44.97	39.17	36.25
505.0	127.4	144.4	156.2	139.9	127.3	164.7	171.1	188.9	179.0	189.6	194.4	228.2	208.8	209.2	247.6	245.9	209.9	202.3	183.7	157.3	156.1	155.5	153.1	154.5	140.0	150.4	144.5	139.9	155.4	152.0	154.2	151.5	148.9	147.3	146.0	143.6	129.8	118.6	108.8	109.9	95.46	92.80	81.94	75.05	69.51	71.48	82.99	75.07	51.79	42.28	36.47
510.0	129.3	143.0	148.4	205.1	134.8	148.5	227.8	146.0	167.1	179.3	207.1	187.4	192.6	214.8	209.7	213.0	190.8	179.3	168.6	143.9	146.9	137.4	140.3	138.1	128.2	130.1	137.3	126.0	126.9	130.6	129.0	130.3	129.7	132.4	122.8	124.6	116.7	112.1	104.2	94.56	93.13	87.11	76.51	73.64	70.32	63.54	62.35	72.22	60.74	43.21	38.24
515.0	112.1	145.3	142.0	168.3	126.9	175.3	158.7	163.9	143.1	176.3	208.0	182.7	183.1	207.1	193.4	201.1	186.1	169.5	146.6	139.9	131.6	120.5	116.0	122.8	121.7	116.5	120.5	122.4	124.1	123.7	110.7	122.9	120.9	121.4	117.9	120.9	110.1	105.5	96.75	89.62	82.86	77.80	73.74	69.16	68.48	61.61	54.81	58.90	66.41	52.52	37.67
